C,0,1,24,1,2,213,255,255,255,255,4,11,0,1,0,0,2,9,0,8,11,175,255,151,151,205,0,26,0,0,1,10,0,7,0,11,255,255,255,133,18,2,12,35,0,17,1,16,0,1,4,11,255,151,151,2,16,26,35,35,9,0,10,3,1,9,2,255,218,255,255,9,21,29,35,32,35,35,25,16,2,16,16,244,255,255,255,255,31,35,35,255,162,35,35,35,16,16,27,160,255,255,255,255,35,35,35,255,203,35,35,26,9,10,10,5,203,237,203,255,146,16,169,151,87,35,10,25,16,16,16,22,255,151,151,255,203,234,255,151,25,15,15,25,0,25,35,16,255,203,92,255,255,151,151,151,26,35,35,35,9,16,16,23,203,14,172,203,255,255,151,128,35,35,25,35,2,16,11,16,151,33,92,203,255,255,151,16,35,26,16,35,9,16,16,16,167,9,151,227,255,255,10,16,35,26,26,35,16,10,35,100,240,112,182,255,200,255,23,35,16,16,35,35,0,0,17,255,11,78,138,255,255,2,9,26,18,136,9,19,0,0,2,0,166,144,88,198,198,19,25,2,4,35,25,3
Y,1,0,255,255,0,0,1,1,0,1,0,1,0,1,0,0,1,2,2,255,158,1,1,1,1,1,1,1,1,1,1,0,1,3,0,255,255,3,1,1,1,1,3,1,1,1,1,1,1,1,1,69,255,174,3,69,117,51,2,3,6,2,3,3,1,1,1,29,255,255,255,255,255,255,255,255,255,255,3,4,1,1,3,2,255,255,221,255,255,255,255,255,255,3,3,3,1,0,1,42,255,255,255,255,255,255,255,255,255,11,9,255,1,1,1,68,255,255,246,255,69,69,80,69,69,255,69,69,1,1,1,51,255,255,255,255,69,69,75,69,69,69,255,3,3,1,3,3,255,255,255,255,130,255,69,127,69,15,13,3,1,1,3,22,255,255,255,255,179,255,73,10,3,3,3,3,2,3,2,228,255,255,255,69,255,150,3,3,3,3,3,3,0,1,13,255,255,69,150,255,111,19,3,3,3,3,3,12,3,3,22,162,255,255,255,255,22,0,3,3,3,3,3,3,1,2,22,13,11,104,22,13,22,3,3,3,2,3,3,13,3,22,22,13,239,255,239,13,13,3,3,3,3,2,13,22
A,3,2,3,10,1,16,3,5,35,35,24,2,28,16,7,16,3,3,16,9,16,17,35,29,16,35,6,16,25,16,17,16,2,16,1,16,35,188,79,255,11,35,151,16,35,16,35,35,14,11,9,11,255,255,255,213,255,255,151,211,35,35,35,35,15,16,33,255,255,255,151,143,151,151,151,32,35,35,29,35,16,16,4,255,255,255,242,151,151,151,151,35,35,14,255,255,16,3,35,255,15,151,208,151,151,151,255,0,157,151,151,151,16,18,17,214,151,255,49,187,151,151,151,154,151,151,67,18,16,34,175,255,151,239,255,255,33,33,151,151,33,61,32,35,9,15,101,255,255,88,151,17,33,33,151,151,33,17,19,26,1,21,3,255,255,151,151,151,33,111,33,151,16,35,16,16,13,3,18,255,255,245,240,151,151,151,144,17,35,35,35,16,16,16,27,64,255,255,255,151,151,103,24,35,16,35,16,35,35,16,255,255,151,255,151,255,118,27,35,35,21,35,35,31,0,4,55,141,40,32,8,37,18,2,34,35,1,16,28,17,0,7,28,1,0,141,28,11,1,11,16,35,0,16,0,33
Y,3,255,255,3,1,3,1,3,3,3,3,3,7,3,3,3,3,255,255,1,1,1,1,3,3,3,3,3,3,4,3,3,1,153,255,1,1,3,3,2,1,3,3,3,3,3,3,3,1,3,255,255,3,1,3,3,6,3,111,255,3,7,155,255,1,2,255,206,1,2,255,255,255,173,173,150,3,69,191,69,1,3,19,255,255,69,206,161,255,69,255,255,3,69,69,10,1,1,1,255,255,255,255,255,255,69,255,255,5,69,69,3,1,1,1,255,255,255,255,255,255,255,255,69,69,69,3,3,1,1,1,168,69,255,226,121,255,255,69,69,80,69,12,3,1,3,3,64,255,255,69,69,69,69,69,69,69,69,3,3,1,1,3,8,255,69,235,69,69,69,220,69,69,3,3,3,2,2,1,2,176,255,255,203,255,69,150,69,150,3,3,3,1,3,3,3,255,255,255,69,69,69,69,69,1,3,3,3,2,1,3,10,69,255,255,255,69,197,255,69,3,3,3,3,3,3,1,3,4,255,255,255,255,69,255,1,3,3,3,22,1,3,3,1,3,69,255,252,255,216,255,3,3,3,12,13
A,0,0,0,1,7,7,7,2,7,7,7,2,19,0,16,7,0,19,0,1,7,7,7,7,9,7,19,3,19,0,7,18,0,0,10,15,19,7,255,255,255,4,19,19,9,5,19,7,0,0,0,19,255,255,255,255,255,255,19,19,9,255,1,1,17,19,19,255,255,255,255,255,255,255,19,255,75,255,204,19,255,255,255,255,255,255,255,255,255,255,19,255,75,75,7,19,255,255,255,255,255,255,255,75,255,71,73,75,75,19,9,7,255,255,19,255,255,255,19,255,75,255,255,227,0,7,19,8,17,19,75,137,255,255,255,19,75,255,75,75,0,19,19,7,2,85,255,19,255,248,255,255,255,255,255,103,0,7,7,7,41,19,19,255,255,19,255,255,255,255,75,0,0,7,6,7,19,19,144,19,255,18,255,255,75,75,255,0,0,19,7,19,0,19,144,255,255,255,19,75,75,216,19,19,5,7,2,10,19,19,19,174,218,255,255,255,75,255,19,19,0,7,19,19,255,255,255,255,19,255,255,255,19,3,2,19,0,4,0,19,19,0,19,255,19,255,255,255,19,10,19,7,19,7,19,0
A,9,6,10,9,8,9,22,59,255,0,22,2,18,22,9,22,4,10,6,7,15,255,255,186,255,255,115,2,19,16,22,22,2,10,5,9,179,255,255,255,255,179,255,255,105,5,9,9,13,6,22,10,14,255,255,255,255,179,255,179,255,10,6,22,6,8,5,10,255,255,227,255,179,219,179,255,179,10,7,1,5,9,22,8,255,254,255,243,179,179,179,255,255,255,179,22,18,9,5,255,255,196,255,179,212,179,255,186,255,255,179,7,5,8,6,255,179,190,179,203,231,179,241,179,179,179,179,9,6,10,5,255,255,182,179,179,179,241,179,179,179,179,6,9,9,9,1,255,179,179,179,22,255,179,179,179,179,255,7,9,5,21,255,255,254,179,179,169,179,179,22,179,179,179,9,9,5,9,255,255,255,179,179,63,22,71,179,32,179,8,13,9,9,10,255,255,255,255,179,154,179,179,179,179,255,9,9,9,5,255,255,255,255,255,255,255,255,217,250,179,182,5,10,22,9,255,255,255,255,255,255,255,179,255,179,179,212,6,7,9,7,255,255,255,255,255,255,255,255,179,179,253,14,5,9,9
C,0,0,0,17,0,0,0,164,255,0,0,5,2,10,14,0,3,2,19,0,1,34,34,255,255,255,255,255,255,255,75,0,75,0,1,1,19,171,255,255,255,255,255,255,255,255,75,75,1,17,6,7,255,255,255,255,255,255,255,255,75,255,255,1,2,7,7,239,255,255,123,75,75,131,2,17,19,19,5,1,5,5,122,130,255,255,255,255,255,9,6,2,9,10,46,12,7,199,255,241,255,255,255,255,1,7,8,233,15,102,0,19,5,3,93,245,255,255,255,255,141,14,19,80,255,209,93,16,2,181,255,255,255,255,255,255,8,11,15,255,255,255,75,19,2,19,19,255,255,255,255,255,255,19,255,255,255,244,0,19,10,19,211,158,248,75,255,19,255,255,255,255,244,0,7,12,1,255,255,255,255,255,255,211,255,255,255,255,59,3,0,7,0,19,255,253,255,255,255,255,19,255,255,255,3,0,5,7,19,19,44,255,255,19,19,255,255,19,255,19,248,0,7,0,19,240,255,241,86,253,255,34,34,19,3,19,19,240,19,0,19,255,19,186,199,255,255,255,19,7,7,19,19,19,0,17
Y,1,1,1,2,1,2,3,1,3,3,2,1,3,2,0,0,1,1,1,1,3,1,2,3,3,3,3,3,3,0,0,0,0,1,1,2,1,2,2,3,3,3,11,1,1,1,3,227,243,107,1,1,2,3,1,3,3,3,3,7,3,192,107,3,81,255,0,3,1,3,3,28,255,255,255,7,69,69,4,12,1,255,255,205,9,255,69,69,255,104,255,255,69,12,255,1,1,1,255,255,255,255,255,255,69,69,69,69,255,6,4,3,2,1,3,255,255,255,255,255,255,255,69,69,150,4,2,13,2,2,3,3,196,255,170,69,69,69,69,69,69,3,22,3,2,3,3,3,255,69,220,69,69,69,69,69,197,6,13,3,3,3,3,1,3,255,255,69,104,69,69,69,18,10,13,5,3,1,3,3,3,251,211,69,69,69,69,69,3,3,3,12,1,1,3,1,3,3,255,69,69,220,69,69,3,3,3,3,1,2,3,3,2,3,69,69,69,69,69,1,3,9,3,3,3,1,1,1,3,2,231,69,69,69,69,5,3,3,10,13,3,3,3,9,2,20,13,173,150,69,69,104,9,20,18,22
B,1,0,1,0,213,13,255,6,1,29,1,1,6,1,0,0,158,1,0,242,255,255,255,255,255,0,0,0,0,1,6,0,0,0,71,255,255,110,255,237,255,0,1,2,6,13,7,0,1,1,255,255,91,242,217,255,255,1,0,1,24,7,1,0,3,0,255,6,255,233,42,255,217,1,98,6,6,2,216,86,0,0,6,255,255,255,255,229,217,7,1,28,5,0,5,0,1,188,115,255,6,255,255,255,217,0,0,21,56,2,1,60,0,255,255,6,173,255,255,255,255,3,0,29,26,0,0,32,0,249,255,255,255,217,255,217,255,22,5,19,36,1,36,36,29,6,115,255,217,255,255,255,217,254,36,34,36,19,36,36,0,255,6,255,255,254,254,217,218,252,0,28,36,6,36,5,1,255,124,255,255,6,255,255,255,253,36,26,5,26,26,34,0,6,6,255,255,255,255,251,217,36,36,250,0,36,26,36,0,1,0,136,136,234,255,2,0,0,36,255,3,31,31,17,5,33,1,1,0,1,41,1,26,36,154,0,2,5,36,20,1,1,5,36,1,0,0,1,5,34,6,12,0,1,8,5
A,1,7,12,21,15,20,22,15,25,25,25,25,8,18,15,23,15,15,15,24,15,17,15,211,14,211,211,25,11,25,25,25,8,15,15,25,62,219,211,243,255,255,255,14,0,211,211,211,12,12,8,211,211,255,211,255,211,211,255,25,235,255,229,255,15,8,211,214,211,255,255,255,211,255,243,25,255,255,61,25,14,8,211,211,243,227,245,255,255,255,255,6,255,255,23,23,15,38,46,211,211,211,211,211,211,255,211,255,255,16,25,25,8,18,211,248,211,211,213,211,255,255,218,255,255,25,25,15,12,71,179,255,211,211,211,255,255,255,255,255,212,25,22,20,12,211,211,211,122,211,211,255,255,255,255,255,25,25,21,25,12,8,211,211,211,211,255,211,255,48,210,48,23,15,25,15,19,147,211,211,251,211,215,255,213,255,211,15,15,25,24,20,15,8,46,211,211,211,211,255,48,48,255,15,15,21,25,25,15,8,46,211,211,211,255,211,255,223,0,25,25,25,15,16,0,8,211,211,211,211,211,211,211,8,8,3,15,25,25,15,0,8,186,211,211,243,78,211,211,8,8,25,15,18,17,7
